Designator,Mid X,Mid Y,Rotation,Layer
D13,42.64,-28.07,180.0,top
D14,61.775,-23.52,180.0,top
D17,42.64,-47.25,180.0,top
D18,62.29,-42.56,180.0,top
D33,42.64,-65.65,180.0,top
D34,61.935,-61.16,180.0,top
D37,42.64,-84.73,180.0,top
D38,61.805,-80.02,180.0,top
H10,69.565,-78.63,0.0,top
H11,36.1,-83.41,0.0,top
H12,36.07,-45.71,0.0,top
H9,69.575,-40.97,0.0,top
J8,52.0,-81.45,180.0,bottom
J9,52.0,-62.6,180.0,bottom
SW13,43.255,-36.3025,0.0,top
SW14,62.345,-31.59,0.0,top
SW17,43.255,-55.1525,0.0,top
SW18,62.345,-50.44,0.0,top
SW33,43.255,-74.0025,0.0,top
SW34,62.345,-69.29,0.0,top
SW37,43.255,-92.8525,0.0,top
SW38,62.345,-88.14,0.0,top
